City_ID,City,Country,Date,Lat,Lng,Conditions,Max Temp,Humidity,Cloudiness,Wind Speed
59,Faya,SA,2022-04-26 22:37:16,18.3851,42.4509,scattered clouds,55.51,41,30,3.58
60,Hermanus,ZA,2022-04-26 22:37:16,-34.4187,19.2345,clear sky,56.79,77,0,9.22
61,Samarai,PG,2022-04-26 22:37:16,-10.6167,150.6667,overcast clouds,83.3,72,100,3.44
62,Port Moresby,PG,2022-04-26 22:37:17,-9.4431,147.1797,scattered clouds,78.22,94,40,2.3
63,East London,ZA,2022-04-26 22:37:17,-33.0153,27.9116,clear sky,60.57,79,3,10.94
64,Hit,IQ,2022-04-26 22:37:18,33.6416,42.8251,clear sky,72.19,50,1,5.46
65,Port Hardy,CA,2022-04-26 22:37:19,50.6996,-127.4199,overcast clouds,46.58,71,100,11.5
66,Cabedelo,BR,2022-04-26 22:33:55,-6.9811,-34.8339,few clouds,77.67,75,16,13.47
67,Lompoc,US,2022-04-26 22:37:19,34.6391,-120.4579,clear sky,66.85,70,0,28.99
68,Caravelas,BR,2022-04-26 22:37:20,-17.7125,-39.2481,clear sky,75.76,81,0,5.3
69,Anzhero-Sudzhensk,RU,2022-04-26 22:37:20,56.081,86.0285,few clouds,31.86,83,19,4.5
70,Ayan,RU,2022-04-26 22:37:21,56.45,138.1667,overcast clouds,31.01,75,100,6.58
71,Challapata,BO,2022-04-26 22:37:21,-18.9,-66.7667,clear sky,50.63,22,8,1.48
72,Sumenep,ID,2022-04-26 22:37:22,-7.0167,113.8667,overcast clouds,80.38,81,100,3.42
73,Bredasdorp,ZA,2022-04-26 22:37:22,-34.5322,20.0403,clear sky,54.91,78,1,2.98
74,Atuona,PF,2022-04-26 22:37:23,-9.8,-139.0333,light rain,78.87,76,17,20.54
75,Changping,CN,2022-04-26 22:37:23,40.2186,116.2197,broken clouds,55.04,18,52,0.56
76,Te Anau,NZ,2022-04-26 22:37:24,-45.4167,167.7167,broken clouds,50.83,77,65,1.59
77,Bulaevo,KZ,2022-04-26 22:37:24,54.9056,70.4439,clear sky,47.89,51,6,5.14
78,Victoria,HK,2022-04-26 22:36:04,22.2855,114.1577,clear sky,82.18,87,4,4.0
79,Kodiak,US,2022-04-26 22:37:25,57.79,-152.4072,broken clouds,45.91,61,75,5.75
80,Virginia Beach,US,2022-04-26 22:37:02,36.8529,-75.978,broken clouds,73.0,70,75,20.71
81,Codrington,AU,2022-04-26 22:37:25,-38.2667,141.9667,overcast clouds,59.88,81,100,7.11
82,Saint Anthony,US,2022-04-26 22:37:26,45.0205,-93.218,few clouds,45.14,45,20,10.36
83,Narsaq,GL,2022-04-26 22:37:26,60.9167,-46.05,overcast clouds,41.22,82,100,0.72
84,Malinovoye Ozero,RU,2022-04-26 22:37:27,51.6753,79.7825,scattered clouds,45.34,55,45,2.98
85,Finschhafen,PG,2022-04-26 22:37:27,-6.6024,147.8681,scattered clouds,84.33,73,29,4.14
86,Barrow,US,2022-04-26 22:37:28,71.2906,-156.7887,light snow,10.42,79,100,13.8
87,Ylojarvi,FI,2022-04-26 22:37:28,61.5563,23.5961,clear sky,30.94,53,0,3.44
88,Geraldton,AU,2022-04-26 22:37:28,-28.7667,114.6,broken clouds,64.81,82,75,18.41
89,Sabaudia,IT,2022-04-26 22:37:29,41.3003,13.0282,clear sky,57.45,91,0,7.54
90,Naze,JP,2022-04-26 22:38:29,28.3667,129.4833,light rain,72.52,80,100,13.38
91,Cockburn Town,TC,2022-04-26 22:35:38,21.4612,-71.1419,clear sky,76.69,68,1,17.92
92,Dunedin,NZ,2022-04-26 22:38:30,-45.8742,170.5036,overcast clouds,53.8,90,92,11.01
93,Saldanha,ZA,2022-04-26 22:38:30,-33.0117,17.9442,clear sky,51.85,82,0,13.47
94,Norman Wells,CA,2022-04-26 22:38:31,65.282,-126.8329,scattered clouds,42.84,52,40,11.5
95,Tuatapere,NZ,2022-04-26 22:38:31,-46.1333,167.6833,overcast clouds,54.66,83,87,6.29
96,Nishihara,JP,2022-04-26 22:38:31,26.1842,127.7558,broken clouds,78.85,94,75,13.8
97,Huilong,CN,2022-04-26 22:38:32,31.8111,121.655,broken clouds,61.93,85,84,14.36
98,Japura,ID,2022-04-26 22:38:32,-0.3167,102.35,overcast clouds,75.16,98,97,0.83
99,Khartoum,SD,2022-04-26 22:38:33,15.5518,32.5324,broken clouds,86.02,26,54,7.83
100,Nanortalik,GL,2022-04-26 22:38:33,60.1432,-45.2371,overcast clouds,36.34,86,100,7.85
101,Kawalu,ID,2022-04-26 22:38:34,-7.3817,108.2082,overcast clouds,72.1,97,100,3.33
102,Puerto Ayora,EC,2022-04-26 22:38:34,-0.7393,-90.3518,broken clouds,78.76,77,74,6.55
103,Aklavik,CA,2022-04-26 22:38:34,68.2191,-135.0107,broken clouds,31.15,90,79,6.91
104,Mapiripan,CO,2022-04-26 22:38:35,2.8892,-72.1256,broken clouds,76.93,87,71,3.09
105,Ranong,TH,2022-04-26 22:38:35,9.9658,98.6348,broken clouds,79.32,84,56,0.4
106,Sula,PH,2022-04-26 22:38:36,15.4573,120.3955,few clouds,79.09,77,16,2.51
107,Ahipara,NZ,2022-04-26 22:38:36,-35.1667,173.1667,overcast clouds,64.89,62,97,8.08
108,Noumea,NC,2022-04-26 22:38:37,-22.2763,166.4572,overcast clouds,76.98,56,99,10.25
109,Touros,BR,2022-04-26 22:38:37,-5.1989,-35.4608,clear sky,79.36,77,4,13.89
110,Marsaxlokk,MT,2022-04-26 22:38:37,35.8419,14.5431,smoke,64.08,94,85,4.61
111,Saskylakh,RU,2022-04-26 22:38:38,71.9167,114.0833,overcast clouds,9.61,89,99,3.2
112,Mucurapo,TT,2022-04-26 22:38:38,10.6667,-61.5333,overcast clouds,80.65,82,100,4.74
113,Saint-Pierre,RE,2022-04-26 22:38:39,-21.3393,55.4781,clear sky,73.08,72,0,8.05
114,Flin Flon,CA,2022-04-26 22:38:39,54.7682,-101.865,clear sky,35.44,35,0,9.22
115,Waddan,LY,2022-04-26 22:38:40,29.1614,16.139,overcast clouds,75.29,26,86,23.98
116,Tucurui,BR,2022-04-26 22:38:40,-3.7661,-49.6725,moderate rain,76.01,89,100,2.62
117,Tuktoyaktuk,CA,2022-04-26 22:38:40,69.4541,-133.0374,broken clouds,15.8,92,75,5.75
118,Belmonte,BR,2022-04-26 22:38:41,-15.8631,-38.8828,scattered clouds,77.05,80,27,8.88
119,Kaitangata,NZ,2022-04-26 22:38:41,-46.2817,169.8464,overcast clouds,53.46,83,89,6.2
120,Polunochnoye,RU,2022-04-26 22:38:42,60.8697,60.4153,overcast clouds,43.88,97,100,4.14
121,Cotia,BR,2022-04-26 22:38:42,-23.6704,-46.9472,broken clouds,75.83,85,80,1.57
122,Cabra,ES,2022-04-26 22:38:42,37.4725,-4.4421,overcast clouds,57.61,65,100,2.26
123,Qaqortoq,GL,2022-04-26 22:38:43,60.7167,-46.0333,overcast clouds,37.38,81,100,1.72
124,Akyab,MM,2022-04-26 22:38:44,20.15,92.9,few clouds,79.97,86,14,3.04
125,Atascadero,US,2022-04-26 22:38:44,35.4894,-120.6707,overcast clouds,76.5,42,100,5.01
126,Belur,IN,2022-04-26 22:38:44,13.1667,75.8667,scattered clouds,73.31,73,28,1.63
127,Port Pirie,AU,2022-04-26 22:38:45,-33.1833,138.0167,scattered clouds,55.49,80,44,4.29
128,Gamba,GA,2022-04-26 22:38:45,-2.65,10.0,light rain,77.79,90,91,4.25
129,Zhuhai,CN,2022-04-26 22:38:46,22.2769,113.5678,scattered clouds,80.38,94,40,4.61
130,Cayenne,GF,2022-04-26 22:38:46,4.9333,-52.3333,few clouds,82.09,1,20,2.3
131,Araguaina,BR,2022-04-26 22:38:46,-7.1911,-48.2072,broken clouds,80.13,62,84,4.25
132,Ponta Do Sol,PT,2022-04-26 22:38:47,32.6667,-17.1,few clouds,61.72,68,16,3.8
133,Dakar,SN,2022-04-26 22:37:34,14.6937,-17.4441,clear sky,68.88,88,0,18.41
134,Broken Hill,AU,2022-04-26 22:38:48,-31.95,141.4333,overcast clouds,58.71,94,100,5.75
135,Carnarvon,AU,2022-04-26 22:39:48,-24.8667,113.6333,broken clouds,71.67,56,75,17.27
136,Pochutla,MX,2022-04-26 22:39:49,15.7432,-96.4661,broken clouds,85.82,57,75,7.9
137,Stepnoye,RU,2022-04-26 22:39:49,51.4,46.8667,overcast clouds,60.01,72,89,7.2
138,Lodja,CD,2022-04-26 22:39:49,-3.4833,23.4333,overcast clouds,67.3,99,99,2.3
139,Griffith,US,2022-04-26 22:39:50,41.5284,-87.4237,scattered clouds,53.15,50,40,12.66
140,Husavik,IS,2022-04-26 22:39:50,66.0449,-17.3389,overcast clouds,37.71,99,100,7.25
141,Hithadhoo,MV,2022-04-26 22:39:51,-0.6,73.0833,overcast clouds,84.63,72,97,6.91
142,Kavaratti,IN,2022-04-26 22:39:51,10.5669,72.642,few clouds,84.69,73,19,6.8
143,Torbay,CA,2022-04-26 22:35:30,47.6666,-52.7314,fog,37.76,93,100,11.99
144,Shirgaon,IN,2022-04-26 22:39:52,19.7,72.7,clear sky,81.5,73,0,5.66
145,Vila Franca Do Campo,PT,2022-04-26 22:39:52,37.7167,-25.4333,scattered clouds,63.01,91,39,8.75
146,Santa Rosa,PH,2022-04-26 22:38:59,14.3122,121.1114,scattered clouds,83.01,78,39,9.44
147,Cape Town,ZA,2022-04-26 22:35:45,-33.9258,18.4232,clear sky,60.28,73,0,13.0
148,Praia Da Vitoria,PT,2022-04-26 22:39:53,38.7333,-27.0667,few clouds,62.85,88,20,18.48
149,Hay River,CA,2022-04-26 22:39:53,60.8156,-115.7999,broken clouds,49.96,57,75,6.91
150,Saint-Philippe,RE,2022-04-26 22:39:54,-21.3585,55.7679,light rain,72.99,83,39,7.99
151,Kemijarvi,FI,2022-04-26 22:39:54,66.7131,27.4306,broken clouds,20.89,70,83,4.34
152,Cherskiy,RU,2022-04-26 22:39:55,68.75,161.3,overcast clouds,32.32,90,98,5.59
153,Vila Velha,BR,2022-04-26 22:38:08,-20.3297,-40.2925,few clouds,78.75,91,20,2.3
154,Ribeira Grande,PT,2022-04-26 22:39:56,38.5167,-28.7,broken clouds,63.12,91,61,24.32
155,Aktash,RU,2022-04-26 22:39:56,50.3,87.7333,light snow,23.54,93,100,3.42
156,Mulege,MX,2022-04-26 22:39:56,26.8833,-111.9833,clear sky,85.15,23,1,8.48
157,San Martin,AR,2022-04-26 22:39:57,-33.081,-68.4681,clear sky,81.14,11,0,31.61
158,Cravo Norte,CO,2022-04-26 22:39:57,6.3017,-70.2041,light rain,85.8,60,99,5.68
159,Laguna,US,2022-04-26 22:37:49,38.421,-121.4238,clear sky,80.89,37,0,8.05
160,Yellowknife,CA,2022-04-26 22:39:58,62.456,-114.3525,few clouds,46.92,46,20,9.22
161,Pingzhuang,CN,2022-04-26 22:39:58,42.0372,119.2889,broken clouds,44.96,26,65,8.57
162,Paamiut,GL,2022-04-26 22:39:59,61.994,-49.6678,snow,35.13,92,100,24.54
163,Clarence Town,AU,2022-04-26 22:35:06,-32.5833,151.7833,overcast clouds,68.86,94,95,1.86
164,Tiksi,RU,2022-04-26 22:40:00,71.6872,128.8694,broken clouds,4.59,93,51,0.76
165,Tual,ID,2022-04-26 22:40:00,-5.6667,132.75,overcast clouds,83.75,73,99,5.59
166,Esperance,AU,2022-04-26 22:40:01,-33.8667,121.9,scattered clouds,58.84,64,41,5.64
167,Inta,RU,2022-04-26 22:40:01,66.0317,60.1659,overcast clouds,38.84,90,100,19.69
168,Ipixuna,BR,2022-04-26 22:40:01,-1.7625,-48.8043,moderate rain,74.23,98,100,1.05
169,Sao Joao Da Barra,BR,2022-04-26 22:40:02,-21.6403,-41.0511,clear sky,75.51,89,10,7.29
170,Lima,PE,2022-04-26 22:35:50,-12.0432,-77.0282,clear sky,66.45,73,0,14.97
171,Gordeyevka,RU,2022-04-26 22:40:03,52.9569,31.9703,light rain,47.55,82,100,6.78
172,Xining,CN,2022-04-26 22:39:11,36.6167,101.7667,scattered clouds,51.26,47,45,3.29
173,Havoysund,NO,2022-04-26 22:40:03,70.9963,24.6622,light snow,19.63,74,100,26.11
174,Gat,IL,2022-04-26 22:40:04,31.61,34.7642,overcast clouds,74.39,63,90,4.72
175,Slave Lake,CA,2022-04-26 22:38:53,55.2834,-114.769,scattered clouds,51.78,40,40,12.66
176,Kasongo-Lunda,CD,2022-04-26 22:40:04,-6.4667,16.8167,overcast clouds,70.99,97,100,1.36
177,Kattivakkam,IN,2022-04-26 22:40:05,13.2167,80.3167,overcast clouds,84.29,89,86,10.07
178,Lexington Park,US,2022-04-26 22:40:06,38.2668,-76.4538,overcast clouds,64.08,84,100,0.0
179,Maniitsoq,GL,2022-04-26 22:40:06,65.4167,-52.9,snow,32.45,98,100,32.77
180,Mount Gambier,AU,2022-04-26 22:40:07,-37.8333,140.7667,overcast clouds,58.91,88,100,5.75
181,Capinopolis,BR,2022-04-26 22:37:28,-18.6819,-49.5697,few clouds,80.17,43,19,8.1
