City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Policarpo,PH,2022-04-18 04:20:50,12.1791,125.5072,84.15,62,99,10.2
68,Mataura,NZ,2022-04-18 04:18:39,-46.1927,168.8643,62.47,54,42,2.19
69,Nioro,GM,2022-04-18 04:20:50,13.35,-15.75,72.61,49,3,8.14
70,Poronaysk,RU,2022-04-18 04:20:51,49.2167,143.1167,34.09,86,55,7.99
71,Brae,GB,2022-04-18 04:20:51,60.3964,-1.353,45.77,83,92,23.73
72,Palmer,US,2022-04-18 04:20:52,42.1584,-72.3287,38.8,77,0,3.44
73,Killybegs,IE,2022-04-18 04:20:52,54.6333,-8.45,44.96,72,71,13.44
74,San Cristobal,VE,2022-04-18 04:20:53,7.7669,-72.225,68.18,97,99,3.11
75,Porto Novo,BJ,2022-04-18 04:20:53,6.4965,2.6036,75.02,93,100,7.47
76,Carnarvon,AU,2022-04-18 04:20:54,-24.8667,113.6333,77.07,61,91,11.5
77,Dire,ML,2022-04-18 04:20:54,12.2833,-10.9667,86.41,30,56,2.68
78,Sisimiut,GL,2022-04-18 04:20:55,66.9395,-53.6735,17.98,87,100,4.92
79,Rincon,US,2022-04-18 04:16:13,32.296,-81.2354,69.76,88,40,6.91
80,East London,ZA,2022-04-18 04:20:55,-33.0153,27.9116,59.94,88,0,8.05
81,Snasa,NO,2022-04-18 04:20:56,64.2457,12.3778,33.31,85,95,3.31
82,Kysyl-Syr,RU,2022-04-18 04:20:56,63.8986,122.7617,31.66,99,100,11.95
83,La Cruz,MX,2022-04-18 04:20:57,23.9167,-106.9,72.14,64,94,3.27
84,Ushuaia,AR,2022-04-18 04:18:42,-54.8,-68.3,44.26,81,20,14.97
85,Bredasdorp,ZA,2022-04-18 04:20:58,-34.5322,20.0403,61.12,89,100,5.08
86,Port Alfred,ZA,2022-04-18 04:20:58,-33.5906,26.891,60.19,95,73,5.01
87,Provideniya,RU,2022-04-18 04:20:59,64.3833,-173.3,32.36,93,100,20.13
88,Busselton,AU,2022-04-18 04:20:59,-33.65,115.3333,65.1,59,95,5.46
89,Krasnomayskiy,RU,2022-04-18 04:21:00,57.6194,34.4099,31.33,82,67,2.1
90,Meulaboh,ID,2022-04-18 04:21:00,4.1363,96.1285,84.72,72,100,3.71
91,Caravelas,BR,2022-04-18 04:21:01,-17.7125,-39.2481,76.3,67,78,9.95
92,Cabra,ES,2022-04-18 04:21:01,37.4725,-4.4421,62.11,54,100,4.05
93,Charters Towers,AU,2022-04-18 04:22:02,-20.1,146.2667,85.96,33,0,8.12
94,Half Moon Bay,US,2022-04-18 04:22:02,37.4636,-122.4286,52.79,76,0,13.8
95,Norman Wells,CA,2022-04-18 04:19:56,65.282,-126.8329,24.84,24,20,3.44
96,Bethel,US,2022-04-18 04:22:03,41.3712,-73.414,39.94,66,0,0.0
97,Hadejia,NG,2022-04-18 04:22:03,12.4498,10.0444,82.89,53,99,11.36
98,Rantauprapat,ID,2022-04-18 04:22:04,2.1,99.8333,84.99,74,100,2.64
99,Aykhal,RU,2022-04-18 04:22:04,66.0,111.5,21.67,90,100,21.94
100,Georgetown,MY,2022-04-18 04:20:04,5.4112,100.3354,91.33,69,20,3.44
101,Le Port,RE,2022-04-18 04:22:05,-20.9373,55.2919,78.8,84,7,6.2
102,Kruisfontein,ZA,2022-04-18 04:22:06,-34.0033,24.7314,59.88,89,100,3.33
103,Rikitea,PF,2022-04-18 04:22:06,-23.1203,-134.9692,78.46,63,3,8.7
104,Ixtapa,MX,2022-04-18 04:22:07,20.7,-105.2,74.23,83,0,0.0
105,Alamos,MX,2022-04-18 04:22:07,27.0167,-108.9333,79.47,13,89,4.34
106,Puerto Ayora,EC,2022-04-18 04:22:08,-0.7393,-90.3518,74.55,94,100,6.42
107,Klaksvik,FO,2022-04-18 04:22:08,62.2266,-6.589,47.32,89,100,26.13
108,Husavik,IS,2022-04-18 04:22:08,66.0449,-17.3389,38.26,98,100,1.57
109,Laguna,US,2022-04-18 04:22:09,38.421,-121.4238,58.6,53,0,9.22
110,Portland,US,2022-04-18 04:19:02,45.5234,-122.6762,54.18,56,100,5.99
111,Barrow,US,2022-04-18 04:22:10,71.2906,-156.7887,6.82,78,0,10.36
112,Vaini,TO,2022-04-18 04:22:10,-21.2,-175.2,84.36,79,75,5.75
113,Walvis Bay,NA,2022-04-18 04:22:11,-22.9575,14.5053,61.25,75,7,5.03
114,Lebu,CL,2022-04-18 04:22:11,-37.6167,-73.65,51.82,90,26,6.29
115,Margate,GB,2022-04-18 04:22:12,51.3813,1.3862,48.69,71,18,5.93
116,Severo-Kurilsk,RU,2022-04-18 04:22:12,50.6789,156.125,31.77,85,93,8.12
117,Oyama,JP,2022-04-18 04:22:13,36.3,139.8,66.58,58,100,6.58
118,Kavaratti,IN,2022-04-18 04:22:13,10.5669,72.642,83.66,69,90,1.28
119,Marquette,US,2022-04-18 04:20:44,46.5333,-87.6335,31.44,83,100,4.21
120,Sidi Ali,DZ,2022-04-18 04:22:14,36.0998,0.4206,58.5,63,68,2.13
121,Kenai,US,2022-04-18 04:22:14,60.5544,-151.2583,44.02,65,20,3.44
122,Camacha,PT,2022-04-18 04:22:15,33.0833,-16.3333,58.42,77,40,18.41
123,Sorland,NO,2022-04-18 04:22:15,67.667,12.6934,42.01,96,100,18.3
124,Kamenka,RU,2022-04-18 04:22:15,51.3223,42.7678,51.49,80,100,6.02
125,Avarua,CK,2022-04-18 04:22:16,-21.2078,-159.775,80.65,69,20,3.44
126,Menomonie,US,2022-04-18 04:22:16,44.8755,-91.9193,37.72,93,100,0.0
127,Aklavik,CA,2022-04-18 04:19:55,68.2191,-135.0107,13.35,91,92,8.43
128,Los Llanos De Aridane,ES,2022-04-18 04:22:17,28.6585,-17.9182,69.55,43,75,13.8
129,Tessalit,ML,2022-04-18 04:22:17,20.1986,1.0114,67.71,24,0,8.39
130,Sibolga,ID,2022-04-18 04:22:18,1.7427,98.7792,78.48,89,100,3.0
131,Hovd,MN,2022-04-18 04:22:18,48.0056,91.6419,57.27,10,14,2.71
132,Vostok,RU,2022-04-18 04:22:19,46.4856,135.8833,40.5,48,99,12.08
133,Port Hedland,AU,2022-04-18 04:22:19,-20.3167,118.5667,98.65,18,13,19.57
134,Hasaki,JP,2022-04-18 04:22:20,35.7333,140.8333,64.8,68,100,10.94
135,Lucea,JM,2022-04-18 04:22:20,18.451,-78.1736,76.86,76,0,2.75
136,Chitose,JP,2022-04-18 04:22:21,42.8194,141.6522,54.1,47,75,18.41
137,Carutapera,BR,2022-04-18 04:22:21,-1.195,-46.02,74.77,95,100,1.92
138,Yellowknife,CA,2022-04-18 04:22:22,62.456,-114.3525,14.52,57,20,3.44
139,Ilebo,CD,2022-04-18 04:22:22,-4.3167,20.5833,70.84,94,94,1.03
140,Ostrovnoy,RU,2022-04-18 04:21:09,68.0531,39.5131,33.51,92,100,6.49
141,Torbay,CA,2022-04-18 04:19:02,47.6666,-52.7314,47.17,92,75,25.32
142,Hermanus,ZA,2022-04-18 04:23:23,-34.4187,19.2345,60.57,86,92,11.01
143,Mayo,US,2022-04-18 04:23:23,38.8876,-76.5119,48.15,48,0,6.91
144,Vestmanna,FO,2022-04-18 04:23:24,62.1564,-7.1664,43.72,93,100,27.63
145,Isangel,VU,2022-04-18 04:23:24,-19.55,169.2667,81.93,75,100,5.39
146,Qaqortoq,GL,2022-04-18 04:23:25,60.7167,-46.0333,25.3,87,28,1.1
147,Zhigansk,RU,2022-04-18 04:23:25,66.7697,123.3711,31.21,85,100,29.24
148,Chicama,PE,2022-04-18 04:23:26,-7.8447,-79.1469,61.34,84,41,5.14
149,Dukat,RU,2022-04-18 04:23:26,62.55,155.55,22.12,77,100,1.48
150,Adrar,MR,2022-04-18 04:23:27,20.5022,-10.0711,73.11,16,86,12.24
151,Port-Cartier,CA,2022-04-18 04:23:27,50.0334,-66.8654,35.82,70,88,16.35
152,Kalmunai,LK,2022-04-18 04:23:28,7.4167,81.8167,85.12,70,63,2.08
153,Ponta Do Sol,PT,2022-04-18 04:23:29,32.6667,-17.1,65.12,57,53,13.42
154,Eydhafushi,MV,2022-04-18 04:18:49,5.1033,73.0708,84.42,71,81,10.94
155,Krasnoselkup,RU,2022-04-18 04:23:30,65.7,82.4667,18.73,88,100,16.26
156,Bandar-E Lengeh,IR,2022-04-18 04:23:30,26.5579,54.8807,78.91,31,0,9.22
